Dome C (611-800 kyr BP),,,,,,,
Lüthi et al. (sub),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
University of Bern,,,,LGGE in Grenoble,,,
Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m),EDC3_gas_a (yr),CO2 (ppmv),
3077.93,682446,222.6,1.6,3182.58,787957,246.4,
3078.32,682762,221.3,1.3,3183.68,789126,239.3,
3078.96,683262,218.7,0.8,3185.88,791767,217.3,
3079.43,683612,217.5,0.7,3186.98,793255,224.2,
3080.14,684142,217.5,1.4,3188.08,794949,206.7,
3080.52,684419,219.4,1.0,3190.28,798893,193.6,
3081.25,684949,219.5,1.1,,,,
3081.63,685217,219.7,1.2,,,,
3082.34,685716,223.5,1.0,,,,
3082.72,685980,224.4,1.3,,,,
3083.37,686425,224.3,1.1,,,,
3083.82,686726,227.3,1.7,,,,
3084.56,687227,228.7,1.3,,,,
3084.92,687470,228.8,1.5,,,,
3085.65,687949,232.3,1.0,,,,
3086.03,688195,233.0,0.5,,,,
3086.73,688652,235.8,1.1,,,,
3087.08,688881,234.9,1.2,,,,
3087.76,689304,235.8,2.0,,,,
3088.23,689603,239.9,0.6,,,,
3088.93,690057,235.6,1.3,,,,
3089.30,690294,234.8,2.1,,,,
3090.05,690771,240.0,2.1,,,,
3090.42,690999,234.0,0.8,,,,
3091.13,691432,235.6,1.0,,,,
3091.52,691672,236.6,0.7,,,,
3092.16,692057,235.5,0.9,,,,
3092.62,692338,235.9,1.4,,,,
3093.33,692765,232.9,0.6,,,,
3093.70,692990,234.8,1.5,,,,
3094.45,693433,234.1,1.5,,,,
3094.80,693639,234.1,1.3,,,,
3095.53,694068,235.4,1.0,,,,
3095.92,694300,234.4,1.1,,,,
3096.56,694672,235.8,1.3,,,,
3097.02,694941,236.9,0.8,,,,
3097.74,695383,236.7,1.9,,,,
3098.13,695618,237.6,0.7,,,,
3098.85,696062,234.6,1.0,,,,
3099.22,696287,234.8,0.6,,,,
3099.93,696717,235.4,0.8,,,,
3100.32,696963,232.9,0.6,,,,
3100.92,697331,232.4,0.7,,,,
3101.43,697660,232.2,0.5,,,,
3102.13,698120,231.0,1.0,,,,
3102.52,698386,228.0,0.5,,,,
3103.25,698880,226.4,1.0,,,,
3103.57,699102,227.7,0.7,,,,
3104.33,699633,227.6,1.6,,,,
3104.71,699909,226.0,0.3,,,,
3105.36,700389,228.7,1.3,,,,
3105.82,700744,227.6,1.1,,,,
3106.46,701242,228.2,0.5,,,,
3106.92,701606,228.8,1.4,,,,
3107.64,702158,229.3,0.5,,,,
3107.93,702381,230.3,1.7,,,,
3108.65,702988,232.4,1.3,,,,
3109.12,703384,232.8,1.6,,,,
3109.75,703934,231.2,1.8,,,,
3110.07,704211,231.2,0.9,,,,
3110.88,704973,233.9,0.8,,,,
3111.32,705410,228.5,1.5,,,,
3112.05,706141,228.6,1.0,,,,
3112.31,706409,228.1,1.0,,,,
3115.25,709680,219.7,0.6,,,,
3115.72,710237,220.2,0.3,,,,
3116.42,711104,218.9,1.5,,,,
3116.68,711421,218.7,1.4,,,,
3117.81,712833,218.5,0.5,,,,
3118.60,713843,222.3,1.6,,,,
3118.95,714288,221.7,2.0,,,,
3119.67,715180,217.7,0.6,,,,
3120.12,715750,222.1,0.6,,,,
3120.85,716704,208.1,0.7,,,,
3121.13,717065,205.0,1.7,,,,
3121.86,718064,192.9,1.2,,,,
3122.32,718779,184.3,1.1,,,,
3122.95,719794,187.8,1.6,,,,
3123.35,720337,195.2,0.8,,,,
3124.06,721318,206.3,0.8,,,,
3124.52,722039,211.3,0.9,,,,
3125.27,723133,213.4,1.2,,,,
3125.53,723464,213.2,1.3,,,,
3126.27,724445,210.3,2.0,,,,
3126.72,725059,206.3,0.7,,,,
3127.41,725937,206.6,1.8,,,,
3127.73,726322,208.1,1.2,,,,
3128.45,727192,204.5,0.4,,,,
3128.91,727732,205.5,1.3,,,,
3129.62,728568,205.1,1.1,,,,
3129.93,728921,205.4,0.8,,,,
3131.12,730299,204.0,1.6,,,,
3131.75,730949,204.1,0.8,,,,
3132.13,731329,204.9,0.8,,,,
3132.92,732141,203.8,1.0,,,,
3133.32,732548,205.9,1.7,,,,
3134.02,733261,203.9,0.7,,,,
3134.33,733543,204.4,0.3,,,,
3135.06,734223,205.3,0.4,,,,
3135.52,734604,207.4,1.9,,,,
3136.19,735167,201.7,1.2,,,,
3136.53,735459,201.3,0.8,,,,
3137.25,736079,204.1,1.0,,,,
3137.72,736460,209.7,1.8,,,,
3138.44,737034,208.1,0.7,,,,
3138.73,737266,211.3,0.8,,,,
3139.46,737889,210.6,1.4,,,,
3139.89,738272,206.5,1.7,,,,
3140.54,738844,200.3,1.6,,,,
3140.88,739137,197.8,1.5,,,,
3141.66,739842,185.0,0.9,,,,
3142.12,740277,178.9,0.3,,,,
3142.85,741021,178.6,2.4,,,,
3143.13,741307,176.6,2.4,,,,
3143.86,742075,177.9,2.1,,,,
3144.32,742558,182.3,1.3,,,,
3144.98,743233,181.7,2.7,,,,
3145.32,743589,180.4,0.7,,,,
3146.06,744354,181.2,0.9,,,,
3146.52,744843,182.0,0.9,,,,
3147.48,745836,180.2,1.2,,,,
3148.26,746643,183.1,0.4,,,,
3148.72,747110,180.8,0.3,,,,
3149.35,747759,180.8,1.3,,,,
3149.68,748101,180.4,0.8,,,,
3150.45,748913,181.4,1.3,,,,
3150.91,749401,182.9,1.8,,,,
3151.65,750194,184.8,1.6,,,,
3151.91,750476,184.0,1.4,,,,
3152.65,751301,186.2,1.9,,,,
3153.12,751830,190.1,1.3,,,,
3153.78,752605,188.0,0.3,,,,
3154.10,752978,196.5,1.8,,,,
3154.96,753984,191.5,1.7,,,,
3155.32,754394,195.8,1.5,,,,
3156.08,755241,200.5,2.0,,,,
3156.30,755495,201.9,1.4,,,,
3157.05,756357,206.0,2.2,,,,
3157.52,756871,210.7,2.3,,,,
3158.15,757561,215.0,1.5,,,,
3158.53,757962,219.2,1.4,,,,
3158.80,758259,215.3,0.7,,,,
3159.00,758475,217.6,1.8,,,,
3159.35,758883,217.9,2.3,,,,
3159.72,759306,214.9,1.2,,,,
3160.47,760202,208.8,0.8,,,,
3160.71,760500,206.9,1.1,,,,
3161.46,761453,206.1,1.9,,,,
3161.92,762064,212.0,0.2,,,,
3162.55,762871,216.0,2.1,,,,
3162.91,763319,215.0,0.9,,,,
3163.20,763686,225.7,3.0,,,,
3163.40,763934,221.4,2.7,,,,
3163.65,764249,224.1,1.4,,,,
3164.12,764833,222.6,0.9,,,,
3164.84,765735,216.8,1.6,,,,
3165.13,766110,215.7,0.5,,,,
3165.86,767096,213.5,0.4,,,,
3166.32,767737,217.7,0.9,,,,
3166.97,768655,222.4,2.1,,,,
3167.26,769050,221.4,1.8,,,,
3167.60,769514,228.1,1.6,,,,
3167.80,769787,226.0,1.6,,,,
3168.05,770133,231.5,1.9,,,,
3168.29,770447,235.6,1.1,,,,
3168.50,770724,238.2,2.2,,,,
3168.70,770994,235.6,2.1,,,,
3168.90,771260,237.7,2.4,,,,
3169.24,771708,229.5,1.5,,,,
3169.53,772076,230.9,1.0,,,,
3170.25,773043,230.0,2.3,,,,
3170.72,773680,233.3,0.9,,,,
3171.35,774548,236.9,0.4,,,,
3171.73,775051,240.5,0.6,,,,
3172.46,776037,238.8,2.0,,,,
3172.92,776636,243.9,0.7,,,,
3173.65,777556,246.3,0.5,,,,
3173.93,777900,246.1,1.1,,,,
3174.65,778798,245.8,2.4,,,,
3175.11,779364,243.9,0.9,,,,
3175.84,780268,248.5,0.6,,,,
3176.13,780612,242.8,0.7,,,,
3176.89,781535,248.7,0.7,,,,
3177.32,782059,246.2,1.1,,,,
3178.31,783263,252.1,2.5,,,,
3179.05,784147,246.9,0.7,,,,
3179.52,784692,250.7,0.2,,,,
3180.15,785413,253.3,2.6,,,,
3180.51,785789,255.4,1.4,,,,
3181.26,786587,260.3,1.3,,,,
3181.73,787076,256.9,0.7,,,,
3182.43,787805,248.1,1.5,,,,
3182.65,788033,247.9,2.7,,,,
3183.46,788887,229.5,0.8,,,,
3183.91,789381,226.3,3.0,,,,
3184.57,790153,218.2,0.8,,,,
3184.90,790538,221.3,1.8,,,,
3185.66,791491,215.4,3.7,,,,
3186.12,792081,205.1,2.5,,,,
3186.75,792943,204.0,1.6,,,,
3186.98,793260,209.0,1.9,,,,
3187.87,794608,199.4,1.7,,,,
3188.23,795202,195.2,2.0,,,,
3188.98,796467,189.3,2.1,,,,
3189.33,797099,188.4,1.4,,,,
3190.08,798512,191.0,2.2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
